profileID,respID,qID,altID,obsID,price,Training_Program,Meal_Plan,Gamification,Counseling,Combined_Training_Session
81,1,1,1,1,30,generic,personalized,Leaderboards,FALSE,Two Plus
62,1,1,2,1,20,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
46,1,1,3,1,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
6,1,2,1,2,30,AI,generic,Leaderboards,TRUE,Two Max
33,1,2,2,2,30,generic,personalized,Leaderboards,FALSE,Two Max
90,1,2,3,2,30,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
11,1,3,1,3,20,AI,personalized,Leaderboards,TRUE,Two Max
8,1,3,2,3,20,generic,personalized,Leaderboards,TRUE,Two Max
4,1,3,3,3,10,AI,generic,Leaderboards,TRUE,Two Max
69,1,4,1,4,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
79,1,4,2,4,10,generic,personalized,Leaderboards,FALSE,Two Plus
8,1,4,3,4,20,generic,personalized,Leaderboards,TRUE,Two Max
18,1,5,1,5,30,AI,generic,Challenges & Leaderboards,TRUE,Two Max
69,1,5,2,5,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
84,1,5,3,5,30,AI,personalized,Leaderboards,FALSE,Two Plus
38,1,6,1,6,20,generic,generic,Challenges & Leaderboards,FALSE,Two Max
21,1,6,2,6,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
29,1,6,3,6,20,AI,generic,Leaderboards,FALSE,Two Max
33,1,7,1,7,30,generic,personalized,Leaderboards,FALSE,Two Max
14,1,7,2,7,20,generic,generic,Challenges & Leaderboards,TRUE,Two Max
28,1,7,3,7,10,AI,generic,Leaderboards,FALSE,Two Max
30,1,8,1,8,30,AI,generic,Leaderboards,FALSE,Two Max
43,1,8,2,8,10,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
41,1,8,3,8,20,AI,generic,Challenges & Leaderboards,FALSE,Two Max
4,2,1,1,9,10,AI,generic,Leaderboards,TRUE,Two Max
27,2,1,2,9,30,generic,generic,Leaderboards,FALSE,Two Max
34,2,1,3,9,10,AI,personalized,Leaderboards,FALSE,Two Max
21,2,2,1,10,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
36,2,2,2,10,30,AI,personalized,Leaderboards,FALSE,Two Max
38,2,2,3,10,20,generic,generic,Challenges & Leaderboards,FALSE,Two Max
92,2,3,1,11,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
94,2,3,2,11,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
83,2,3,3,11,20,AI,personalized,Leaderboards,FALSE,Two Plus
45,2,4,1,12,30,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
21,2,4,2,12,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
26,2,4,3,12,20,generic,generic,Leaderboards,FALSE,Two Max
36,2,5,1,13,30,AI,personalized,Leaderboards,FALSE,Two Max
67,2,5,2,13,10,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
24,2,5,3,13,30,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
42,2,6,1,14,30,AI,generic,Challenges & Leaderboards,FALSE,Two Max
15,2,6,2,14,30,generic,generic,Challenges & Leaderboards,TRUE,Two Max
33,2,6,3,14,30,generic,personalized,Leaderboards,FALSE,Two Max
33,2,7,1,15,30,generic,personalized,Leaderboards,FALSE,Two Max
90,2,7,2,15,30,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
3,2,7,3,15,30,generic,generic,Leaderboards,TRUE,Two Max
34,2,8,1,16,10,AI,personalized,Leaderboards,FALSE,Two Max
73,2,8,2,16,10,generic,generic,Leaderboards,FALSE,Two Plus
37,2,8,3,16,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
63,3,1,1,17,30,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
37,3,1,2,17,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
85,3,1,3,17,10,generic,generic,Challenges & Leaderboards,FALSE,Two Plus
39,3,2,1,18,30,generic,generic,Challenges & Leaderboards,FALSE,Two Max
29,3,2,2,18,20,AI,generic,Leaderboards,FALSE,Two Max
2,3,2,3,18,20,generic,generic,Leaderboards,TRUE,Two Max
78,3,3,1,19,30,AI,generic,Leaderboards,FALSE,Two Plus
46,3,3,2,19,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
95,3,3,3,19,20,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
89,3,4,1,20,20,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
42,3,4,2,20,30,AI,generic,Challenges & Leaderboards,FALSE,Two Max
70,3,4,3,20,10,AI,personalized,Challenges & Leaderboards,TRUE,Two Plus
67,3,5,1,21,10,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
60,3,5,2,21,30,AI,personalized,Leaderboards,TRUE,Two Plus
4,3,5,3,21,10,AI,generic,Leaderboards,TRUE,Two Max
95,3,6,1,22,20,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
37,3,6,2,22,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
14,3,6,3,22,20,generic,generic,Challenges & Leaderboards,TRUE,Two Max
93,3,7,1,23,30,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
