profileID,respID,qID,altID,obsID,price,Training_Program,Meal_Plan,Gamification,Counseling,Combined_Training_Session
23,1,1,1,1,20,Yes,Yes,Yes,Yes,No
51,1,1,2,1,30,No,No,No,Yes,Yes
5,1,1,3,1,20,Yes,No,No,Yes,No
58,1,2,1,2,10,Yes,Yes,No,Yes,Yes
95,1,2,2,2,20,Yes,Yes,Yes,No,Yes
66,1,2,3,2,30,Yes,No,Yes,Yes,Yes
50,1,3,1,3,20,No,No,No,Yes,Yes
93,1,3,2,3,30,No,Yes,Yes,No,Yes
19,1,3,3,3,10,No,Yes,Yes,Yes,No
58,1,4,1,4,10,Yes,Yes,No,Yes,Yes
50,1,4,2,4,20,No,No,No,Yes,Yes
93,1,4,3,4,30,No,Yes,Yes,No,Yes
7,1,5,1,5,10,No,Yes,No,Yes,No
12,1,5,2,5,30,Yes,Yes,No,Yes,No
80,1,5,3,5,20,No,Yes,No,No,Yes
65,1,6,1,6,20,Yes,No,Yes,Yes,Yes
17,1,6,2,6,20,Yes,No,Yes,Yes,No
85,1,6,3,6,10,No,No,Yes,No,Yes
23,1,7,1,7,20,Yes,Yes,Yes,Yes,No
15,1,7,2,7,30,No,No,Yes,Yes,No
60,1,7,3,7,30,Yes,Yes,No,Yes,Yes
2,1,8,1,8,20,No,No,No,Yes,No
11,1,8,2,8,20,Yes,Yes,No,Yes,No
60,1,8,3,8,30,Yes,Yes,No,Yes,Yes
77,2,1,1,9,20,Yes,No,No,No,Yes
36,2,1,2,9,30,Yes,Yes,No,No,No
95,2,1,3,9,20,Yes,Yes,Yes,No,Yes
10,2,2,1,10,10,Yes,Yes,No,Yes,No
90,2,2,2,10,30,Yes,No,Yes,No,Yes
67,2,2,3,10,10,No,Yes,Yes,Yes,Yes
11,2,3,1,11,20,Yes,Yes,No,Yes,No
20,2,3,2,11,20,No,Yes,Yes,Yes,No
92,2,3,3,11,20,No,Yes,Yes,No,Yes
90,2,4,1,12,30,Yes,No,Yes,No,Yes
65,2,4,2,12,20,Yes,No,Yes,Yes,Yes
89,2,4,3,12,20,Yes,No,Yes,No,Yes
90,2,5,1,13,30,Yes,No,Yes,No,Yes
81,2,5,2,13,30,No,Yes,No,No,Yes
24,2,5,3,13,30,Yes,Yes,Yes,Yes,No
13,2,6,1,14,10,No,No,Yes,Yes,No
39,2,6,2,14,30,No,No,Yes,No,No
3,2,6,3,14,30,No,No,No,Yes,No
87,2,7,1,15,30,No,No,Yes,No,Yes
24,2,7,2,15,30,Yes,Yes,Yes,Yes,No
94,2,7,3,15,10,Yes,Yes,Yes,No,Yes
93,2,8,1,16,30,No,Yes,Yes,No,Yes
17,2,8,2,16,20,Yes,No,Yes,Yes,No
50,2,8,3,16,20,No,No,No,Yes,Yes
16,3,1,1,17,10,Yes,No,Yes,Yes,No
79,3,1,2,17,10,No,Yes,No,No,Yes
66,3,1,3,17,30,Yes,No,Yes,Yes,Yes
88,3,2,1,18,10,Yes,No,Yes,No,Yes
49,3,2,2,18,10,No,No,No,Yes,Yes
