profileID,respID,qID,altID,obsID,price,Training_Program,Meal_Plan,Gamification,Counseling,Combined_Training_Session
50,1,1,1,1,20,generic,generic,Leaderboards,TRUE,Two Plus
38,1,1,2,1,20,generic,generic,Challenges & Leaderboards,FALSE,Two Max
39,1,1,3,1,30,generic,generic,Challenges & Leaderboards,FALSE,Two Max
35,1,2,1,2,20,AI,personalized,Leaderboards,FALSE,Two Max
27,1,2,2,2,30,generic,generic,Leaderboards,FALSE,Two Max
26,1,2,3,2,20,generic,generic,Leaderboards,FALSE,Two Max
61,1,3,1,3,10,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
39,1,3,2,3,30,generic,generic,Challenges & Leaderboards,FALSE,Two Max
42,1,3,3,3,30,AI,generic,Challenges & Leaderboards,FALSE,Two Max
6,1,4,1,4,30,AI,generic,Leaderboards,TRUE,Two Max
78,1,4,2,4,30,AI,generic,Leaderboards,FALSE,Two Plus
31,1,4,3,4,10,generic,personalized,Leaderboards,FALSE,Two Max
35,1,5,1,5,20,AI,personalized,Leaderboards,FALSE,Two Max
74,1,5,2,5,20,generic,generic,Leaderboards,FALSE,Two Plus
94,1,5,3,5,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
96,1,6,1,6,30,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
81,1,6,2,6,30,generic,personalized,Leaderboards,FALSE,Two Plus
36,1,6,3,6,30,AI,personalized,Leaderboards,FALSE,Two Max
46,1,7,1,7,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
68,1,7,2,7,20,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
5,1,7,3,7,20,AI,generic,Leaderboards,TRUE,Two Max
33,1,8,1,8,30,generic,personalized,Leaderboards,FALSE,Two Max
66,1,8,2,8,30,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
17,1,8,3,8,20,AI,generic,Challenges & Leaderboards,TRUE,Two Max
55,2,1,1,9,10,generic,personalized,Leaderboards,TRUE,Two Plus
29,2,1,2,9,20,AI,generic,Leaderboards,FALSE,Two Max
46,2,1,3,9,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
27,2,2,1,10,30,generic,generic,Leaderboards,FALSE,Two Max
88,2,2,2,10,10,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
13,2,2,3,10,10,generic,generic,Challenges & Leaderboards,TRUE,Two Max
92,2,3,1,11,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
64,2,3,2,11,10,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
65,2,3,3,11,20,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
61,2,4,1,12,10,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
50,2,4,2,12,20,generic,generic,Leaderboards,TRUE,Two Plus
76,2,4,3,12,10,AI,generic,Leaderboards,FALSE,Two Plus
39,2,5,1,13,30,generic,generic,Challenges & Leaderboards,FALSE,Two Max
4,2,5,2,13,10,AI,generic,Leaderboards,TRUE,Two Max
34,2,5,3,13,10,AI,personalized,Leaderboards,FALSE,Two Max
53,2,6,1,14,20,AI,generic,Leaderboards,TRUE,Two Plus
84,2,6,2,14,30,AI,personalized,Leaderboards,FALSE,Two Plus
79,2,6,3,14,10,generic,personalized,Leaderboards,FALSE,Two Plus
23,2,7,1,15,20,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
70,2,7,2,15,10,AI,personalized,Challenges & Leaderboards,TRUE,Two Plus
75,2,7,3,15,30,generic,generic,Leaderboards,FALSE,Two Plus
68,2,8,1,16,20,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
55,2,8,2,16,10,generic,personalized,Leaderboards,TRUE,Two Plus
5,2,8,3,16,20,AI,generic,Leaderboards,TRUE,Two Max
14,3,1,1,17,20,generic,generic,Challenges & Leaderboards,TRUE,Two Max
40,3,1,2,17,10,AI,generic,Challenges & Leaderboards,FALSE,Two Max
23,3,1,3,17,20,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
40,3,2,1,18,10,AI,generic,Challenges & Leaderboards,FALSE,Two Max
44,3,2,2,18,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
96,3,2,3,18,30,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
76,3,3,1,19,10,AI,generic,Leaderboards,FALSE,Two Plus
96,3,3,2,19,30,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
66,3,3,3,19,30,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
20,3,4,1,20,20,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
74,3,4,2,20,20,generic,generic,Leaderboards,FALSE,Two Plus
63,3,4,3,20,30,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
68,3,5,1,21,20,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
51,3,5,2,21,30,generic,generic,Leaderboards,TRUE,Two Plus
36,3,5,3,21,30,AI,personalized,Leaderboards,FALSE,Two Max
8,3,6,1,22,20,generic,personalized,Leaderboards,TRUE,Two Max
3,3,6,2,22,30,generic,generic,Leaderboards,TRUE,Two Max
51,3,6,3,22,30,generic,generic,Leaderboards,TRUE,Two Plus
62,3,7,1,23,20,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
82,3,7,2,23,10,AI,personalized,Leaderboards,FALSE,Two Plus
89,3,7,3,23,20,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
87,3,8,1,24,30,generic,generic,Challenges & Leaderboards,FALSE,Two Plus
17,3,8,2,24,20,AI,generic,Challenges & Leaderboards,TRUE,Two Max
82,3,8,3,24,10,AI,personalized,Leaderboards,FALSE,Two Plus
64,4,1,1,25,10,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
75,4,1,2,25,30,generic,generic,Leaderboards,FALSE,Two Plus
30,4,1,3,25,30,AI,generic,Leaderboards,FALSE,Two Max
38,4,2,1,26,20,generic,generic,Challenges & Leaderboards,FALSE,Two Max
96,4,2,2,26,30,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
45,4,2,3,26,30,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
91,4,3,1,27,10,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
12,4,3,2,27,30,AI,personalized,Leaderboards,TRUE,Two Max
67,4,3,3,27,10,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
49,4,4,1,28,10,generic,generic,Leaderboards,TRUE,Two Plus
81,4,4,2,28,30,generic,personalized,Leaderboards,FALSE,Two Plus
24,4,4,3,28,30,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
44,4,5,1,29,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
25,4,5,2,29,10,generic,generic,Leaderboards,FALSE,Two Max
65,4,5,3,29,20,AI,generic,Challenges & Leaderboards,TRUE,Two Plus
11,4,6,1,30,20,AI,personalized,Leaderboards,TRUE,Two Max
21,4,6,2,30,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
59,4,6,3,30,20,AI,personalized,Leaderboards,TRUE,Two Plus
33,4,7,1,31,30,generic,personalized,Leaderboards,FALSE,Two Max
4,4,7,2,31,10,AI,generic,Leaderboards,TRUE,Two Max
16,4,7,3,31,10,AI,generic,Challenges & Leaderboards,TRUE,Two Max
78,4,8,1,32,30,AI,generic,Leaderboards,FALSE,Two Plus
92,4,8,2,32,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
59,4,8,3,32,20,AI,personalized,Leaderboards,TRUE,Two Plus
23,5,1,1,33,20,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
1,5,1,2,33,10,generic,generic,Leaderboards,TRUE,Two Max
37,5,1,3,33,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
16,5,2,1,34,10,AI,generic,Challenges & Leaderboards,TRUE,Two Max
14,5,2,2,34,20,generic,generic,Challenges & Leaderboards,TRUE,Two Max
87,5,2,3,34,30,generic,generic,Challenges & Leaderboards,FALSE,Two Plus
28,5,3,1,35,10,AI,generic,Leaderboards,FALSE,Two Max
56,5,3,2,35,20,generic,personalized,Leaderboards,TRUE,Two Plus
84,5,3,3,35,30,AI,personalized,Leaderboards,FALSE,Two Plus
58,5,4,1,36,10,AI,personalized,Leaderboards,TRUE,Two Plus
63,5,4,2,36,30,generic,generic,Challenges & Leaderboards,TRUE,Two Plus
6,5,4,3,36,30,AI,generic,Leaderboards,TRUE,Two Max
69,5,5,1,37,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
53,5,5,2,37,20,AI,generic,Leaderboards,TRUE,Two Plus
89,5,5,3,37,20,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
79,5,6,1,38,10,generic,personalized,Leaderboards,FALSE,Two Plus
88,5,6,2,38,10,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
86,5,6,3,38,20,generic,generic,Challenges & Leaderboards,FALSE,Two Plus
46,5,7,1,39,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
9,5,7,2,39,30,generic,personalized,Leaderboards,TRUE,Two Max
80,5,7,3,39,20,generic,personalized,Leaderboards,FALSE,Two Plus
67,5,8,1,40,10,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
37,5,8,2,40,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
75,5,8,3,40,30,generic,generic,Leaderboards,FALSE,Two Plus
53,6,1,1,41,20,AI,generic,Leaderboards,TRUE,Two Plus
14,6,1,2,41,20,generic,generic,Challenges & Leaderboards,TRUE,Two Max
90,6,1,3,41,30,AI,generic,Challenges & Leaderboards,FALSE,Two Plus
69,6,2,1,42,30,generic,personalized,Challenges & Leaderboards,TRUE,Two Plus
16,6,2,2,42,10,AI,generic,Challenges & Leaderboards,TRUE,Two Max
58,6,2,3,42,10,AI,personalized,Leaderboards,TRUE,Two Plus
60,6,3,1,43,30,AI,personalized,Leaderboards,TRUE,Two Plus
13,6,3,2,43,10,generic,generic,Challenges & Leaderboards,TRUE,Two Max
24,6,3,3,43,30,AI,personalized,Challenges & Leaderboards,TRUE,Two Max
77,6,4,1,44,20,AI,generic,Leaderboards,FALSE,Two Plus
80,6,4,2,44,20,generic,personalized,Leaderboards,FALSE,Two Plus
93,6,4,3,44,30,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
49,6,5,1,45,10,generic,generic,Leaderboards,TRUE,Two Plus
76,6,5,2,45,10,AI,generic,Leaderboards,FALSE,Two Plus
20,6,5,3,45,20,generic,personalized,Challenges & Leaderboards,TRUE,Two Max
51,6,6,1,46,30,generic,generic,Leaderboards,TRUE,Two Plus
46,6,6,2,46,10,AI,personalized,Challenges & Leaderboards,FALSE,Two Max
27,6,6,3,46,30,generic,generic,Leaderboards,FALSE,Two Max
44,6,7,1,47,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Max
92,6,7,2,47,20,generic,personalized,Challenges & Leaderboards,FALSE,Two Plus
70,6,7,3,47,10,AI,personalized,Challenges & Leaderboards,TRUE,Two Plus
83,6,8,1,48,20,AI,personalized,Leaderboards,FALSE,Two Plus
15,6,8,2,48,30,generic,generic,Challenges & Leaderboards,TRUE,Two Max
37,6,8,3,48,10,generic,generic,Challenges & Leaderboards,FALSE,Two Max
11,7,1,1,49,20,AI,personalized,Leaderboards,TRUE,Two Max
95,7,1,2,49,20,AI,personalized,Challenges & Leaderboards,FALSE,Two Plus
